dataset,minsup,algorithm,run_type,run_id,campaign_id,expected_output_equivalent_group,log_path
D300C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D250C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D250C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D250C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D250C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D250C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D250C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D250C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D250C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D50C20T20N2.5S8I6,30%,TriBack-Clo-Java,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo-Java,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo-Java,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo-Java,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo-Java,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo-Java,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo-Java,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo-Java,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo-Java,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo-Java,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo-Java,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo-Java,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo-Java,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo-Java,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo-Java,measured,2,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo-Java,measured,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I4_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I4_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I4_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I4,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/CloFast_D50C20T20N2.5S6I4_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I4_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/ClaSP_D50C20T20N2.5S6I4_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I4,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I4_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I4,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,logs_fig15/BIDE+_D50C20T20N2.5S6I4_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I2,30%,TriBack-Clo-Java,warmup,1,20260129_132539,D50C20T20N2.5S6I2_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I2_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I2,30%,TriBack-Clo-Java,measured,3,20260129_132539,D50C20T20N2.5S6I2_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I2_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I2,30%,TriBack-Clo-Java,measured,2,20260129_132539,D50C20T20N2.5S6I2_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I2_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I2,30%,TriBack-Clo-Java,measured,1,20260129_132539,D50C20T20N2.5S6I2_0.3_group,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I2_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I2,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I2_0.3_group,logs_fig15/CloSpan_D50C20T20N2.5S6I2_0.3_runwarmup1_20260129_132539.log
